confidence,project,task,model_short,run_id,run_name,matched_requests,input_tokens,output_tokens,cost_usd,wandb_input_tokens,wandb_output_tokens,wandb_cost_usd,n_api_keys,top_api_key,top_key_request_frac,expected_key_request_frac,n_fspo_overlaps,n_non_fspo_overlaps,overlap_run_ids,non_fspo_overlap_ids,non_fspo_overlap_names,key_breakdown
A_wandb_direct,pupa-dynamic-fewshot-origin,PUPA,GPT-4.1-mini,p16uyuga,pupa_gpt_nobase_subset45_20iter,7404,8020380,2613759,7.172737,6325719.0,2018796.0,5.7603612,3,project,0.5548352242031335,0.5548352242031335,0,0,,,,"project:4108 req,3616750 in,1926792 out,$4.4944; AIME_MATH_AGNOSTIC_NB:3276 req,4358442 in,675493 out,$2.6419; AIME_MATH_AGNOSTIC:20 req,45188 in,11474 out,$0.0364"
A_clean_time_model,aime-math-dynamic-fewshot,AIME-2025,Qwen3-8B,wmst5cop,dynamic_fewshot_20iter_3shot,396,336497,613121,0.314627,,,,1,gepa,1.0,0.0,0,0,,,,"gepa:396 req,336497 in,613121 out,$0.3146"
C_overlap_same_model_fspo,aime-math-dynamic-fewshot,AIME-2025,Qwen3-8B,86zmx5b0,dspy_qwen3-8b_math-specific_fixed15val_nothink_20iter_3shot_top1,32032,37871881,96872330,48.4919,,,,5,gepa,0.4316620879120879,0.5682754745254746,1,0,4436w5h5,,,"gepa:13827 req,15560218 in,28882115 out,$14.9550; AIME_MATH_FEWSHOT:8575 req,10333997 in,56897866 out,$27.0933; AIME_MATH_AGNOSTIC:7156 req,9795137 in,5684197 out,$3.7288; AIME_MATH_V2_goodvalset:2472 req,2181900 in,5407610 out,$2.7145; nan:2 req,629 in,542 out,$0.0002"
C_overlap_same_model_fspo,aime-math-dynamic-fewshot,AIME-2025,Qwen3-8B,8v2qjgrx,dspy_qwen3-8b_math-specific_fixed45val_20iter_3shot,6322,3329514,94934386,43.58154,,,,4,AIME_MATH_FEWSHOT,0.6849098386586523,0.719234419487504,1,1,bkpxngx5,dgk5dnn7,baseline_qwen3-8b,"AIME_MATH_FEWSHOT:4330 req,2151061 in,89668933 out,$41.0489; hover_fs_base:1193 req,869213 in,667029 out,$0.4046; ifbench-base-feshot:582 req,234307 in,1000231 out,$0.4822; AIME4.1-loc:217 req,74933 in,3598193 out,$1.6458"
C_overlap_same_model_fspo,aime-math-dynamic-fewshot,AIME-2025,Qwen3-8B,bkpxngx5,dspy_qwen3-8b_math-specific_fixed15val_20iter_3shot,5560,2987365,81974074,37.644935,,,,4,AIME_MATH_FEWSHOT,0.6879496402877698,0.7143884892086331,1,1,8v2qjgrx,dgk5dnn7,baseline_qwen3-8b,"AIME_MATH_FEWSHOT:3825 req,1924548 in,78094416 out,$35.7562; hover_fs_base:1193 req,869213 in,667029 out,$0.4046; ifbench-base-feshot:395 req,143573 in,630170 out,$0.3033; AIME4.1-loc:147 req,50031 in,2582459 out,$1.1808"
C_overlap_same_model_fspo,aime-math-dynamic-fewshot,AIME-2025,Qwen3-8B,vwwcv2b0,dynamic_fewshot_20iter_3shot,15579,10544153,202043004,93.154847,,,,9,ifbench-fewshot,0.2687592271647731,0.6802105398292574,2,6,9ogkl1i5;7jl5dta0,aze6k9s5;tvozrvmu;80wchg13;j7n57vs0;pjquggwc;5nnpwzju,baseline_litellm_qwen3-8b;baseline_qwen3-8b;litellm_agnostic_nb_20iter_3shot;litellm_agnostic_nb_20iter_3shot;litellm_v2_stratified_20iter_3shot;litellm_v2_stratified_20iter_3shot,"ifbench-fewshot:4187 req,3394124 in,11787417 out,$5.7583; AIME4.1-loc:2329 req,1799542 in,26135710 out,$12.1011; AIME_MATH_FEWSHOT:2308 req,1110227 in,49662495 out,$22.7252; AIME_MATH_AGNOSTIC_NB:2255 req,1559724 in,39251981 out,$18.0410; AIME_MATH_AGNOSTIC:2077 req,994676 in,42275672 out,$19.3508; AIME_MATH_V2_goodvalset:1628 req,1366477 in,28104049 out,$12.9464; ifbench-base-feshot:591 req,241142 in,1146805 out,$0.5497; gepa:201 req,71079 in,3660474 out,$1.6737"
C_cross_task_key_mix,hotpotqa-dynamic-fewshot,HotpotQA,Qwen3-8B,trvbqp3c,hotpot_qwen_subset50_20iter,7202,6397998,19258867,9.507738,,,,3,project,0.7349347403499028,0.0,0,0,,,,"project:5293 req,4058464 in,3881131 out,$2.2381; LiveBenchMathBench-rp:1391 req,1542183 in,7864731 out,$3.7582; aime-rp:518 req,797351 in,7513005 out,$3.5114"
C_overlap_same_model_fspo,hover-dynamic-fewshot,Hover,Qwen3-8B,aa8u5puv,dynamic_fewshot_qwen3_8b_20iter_3shot,3796,2954348,3386720,1.884707,,,,2,hover_fs,0.905426765015806,0.905426765015806,1,0,bfmewlrg,,,"hover_fs:3437 req,2791961 in,2884819 out,$1.6375; ifbench-fewshot:359 req,162387 in,501901 out,$0.2472"
C_overlap_same_model_fspo,ifbench-dynamic-fewshot,IFBench,Qwen3-8B,8z2rfgr7,dynamic_fewshot_qwen3_8b_20iter_3shot,3297,1997970,6098110,3.006746,,,,2,ifbench-fewshot,0.7039733090688505,1.0,1,0,r9104ny9,,,"ifbench-fewshot:2321 req,1593369 in,4276990 out,$2.1313; ifbench-base-feshot:976 req,404601 in,1821120 out,$0.8754"
C_overlap_same_model_fspo,ifbench-dynamic-fewshot,IFBench,Qwen3-8B,9ogkl1i5,dynamic_fewshot_qwen3_8b_20iter_3shot,5046,3744865,18148644,8.69325,,,,4,ifbench-fewshot,0.8297661514070551,0.9468886246531908,1,0,vwwcv2b0,,,"ifbench-fewshot:4187 req,3394124 in,11787417 out,$5.7583; ifbench-base-feshot:591 req,241142 in,1146805 out,$0.5497; AIME_MATH_FEWSHOT:248 req,101439 in,4533825 out,$2.0746; AIME_MATH_AGNOSTIC:20 req,8160 in,680597 out,$0.3106"
C_overlap_same_model_fspo,ifbench-dynamic-fewshot,IFBench,Qwen3-8B,bfmewlrg,dynamic_fewshot_qwen3_8b_20iter_3shot,6316,4459615,6355728,3.410476,,,,3,hover_fs,0.5441735275490817,0.2670994300189994,1,0,aa8u5puv,,,"hover_fs:3437 req,2791961 in,2884819 out,$1.6375; ifbench-fewshot:1687 req,817861 in,2802829 out,$1.3701; hover_fs_base:1192 req,849793 in,668080 out,$0.4028"
C_overlap_same_model_fspo,ifbench-dynamic-fewshot,IFBench,Qwen3-8B,r9104ny9,dynamic_fewshot_qwen3_8b_20iter_3shot,4203,2612877,7941284,3.916894,,,,2,ifbench-fewshot,0.7925291458482037,1.0,1,0,8z2rfgr7,,,"ifbench-fewshot:3331 req,2264050 in,6360765 out,$3.1574; ifbench-base-feshot:872 req,348827 in,1580519 out,$0.7595"
A_clean_time_model,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,b6iz2dax,dynamic_fewshot_20iter_3shot,1450,1111392,10109574,4.729177,,,,1,gepa,1.0,0.0,0,0,,,,"gepa:1450 req,1111392 in,10109574 out,$4.7292"
A_clean_time_model,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,gs527dox,dynamic_fewshot_20iter_3shot,741,624768,714572,0.3978429999999999,,,,1,gepa,1.0,0.0,0,0,,,,"gepa:741 req,624768 in,714572 out,$0.3978"
A_clean_time_model,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,prmdtdw1,dynamic_fewshot_2iter_3shot,136,104532,158592,0.084321,,,,1,gepa,1.0,0.0,0,0,,,,"gepa:136 req,104532 in,158592 out,$0.0843"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,1fm6356x,ablation_nofewshot_20iter,1419,1567546,1797153,1.000381,,,,2,gepa,0.9985905567300916,0.0,1,0,qy66amuq,,,"gepa:1417 req,1567240 in,1796724 out,$1.0002; AIME_MATH_FEWSHOT:2 req,306 in,429 out,$0.0002"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,4436w5h5,dynamic_fewshot_20iter_3shot,2254,1977318,3076398,1.629922,,,,3,gepa,0.989352262644188,0.0,1,0,86zmx5b0,,,"gepa:2230 req,1967647 in,2443596 out,$1.3410; AIME_MATH_FEWSHOT:22 req,9042 in,632260 out,$0.2887; nan:2 req,629 in,542 out,$0.0002"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,7jl5dta0,dynamic_fewshot_20iter_3shot,2797,2029841,36038984,16.633830000000003,,,,4,AIME4.1-loc,0.6453342867357883,0.0,1,2,vwwcv2b0,pjquggwc;5nnpwzju,litellm_v2_stratified_20iter_3shot;litellm_v2_stratified_20iter_3shot,"AIME4.1-loc:1805 req,1414952 in,16918309 out,$7.8625; AIME_MATH_AGNOSTIC:373 req,197692 in,6892287 out,$3.1589; AIME_MATH_V2_goodvalset:363 req,291506 in,6538440 out,$3.0089; AIME_MATH_FEWSHOT:256 req,125691 in,5689948 out,$2.6035"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,f8p7kmt5,ablation_nofewshot_20iter,1264,1637688,1551127,0.896742,,,,1,gepa,1.0,0.0,1,0,xji9z2aa,,,"gepa:1264 req,1637688 in,1551127 out,$0.8967"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,qy66amuq,dynamic_fewshot_20iter_3shot,1684,2129467,2254805,1.274228,,,,2,gepa,0.998812351543943,0.0,1,0,1fm6356x,,,"gepa:1682 req,2129161 in,2254376 out,$1.2740; AIME_MATH_FEWSHOT:2 req,306 in,429 out,$0.0002"
C_overlap_same_model_fspo,livebench-math-dynamic-fewshot,LiveBench-Math,Qwen3-8B,xji9z2aa,dynamic_fewshot_20iter_3shot,1683,2138436,2280404,1.286941,,,,1,gepa,1.0,0.0,1,0,f8p7kmt5,,,"gepa:1683 req,2138436 in,2280404 out,$1.2869"
C_overlap_same_model_fspo,pupa-dynamic-fewshot-origin,PUPA,Qwen3-8B,3y0tizlv,pupa_qwen_nobase_dual_20iter,26343,41844033,37284448,21.846929,,,,6,AIME_MATH_AGNOSTIC_NB,0.4716243404319933,0.2993964240974832,2,0,n7o1crf6;tituojj7,,,"AIME_MATH_AGNOSTIC_NB:12424 req,18218334 in,10109592 out,$6.7252; project:7887 req,11452511 in,13288663 out,$7.3823; AIME_MATH_FEWSHOT:4699 req,8957288 in,5475132 out,$3.5368; LiveBenchMathBench-rp:984 req,2559229 in,4814222 out,$2.4894; aime-rp:287 req,507507 in,3523557 out,$1.6625; AIME_MATH_AGNOSTIC:62 req,149164 in,73282 out,$0.0508"
C_overlap_same_model_fspo,pupa-dynamic-fewshot-origin,PUPA,Qwen3-8B,n7o1crf6,pupa_qwen_nobase_subset45_20iter,23113,37716189,33056550,19.441897,,,,6,AIME_MATH_AGNOSTIC_NB,0.4702981006360057,0.3149742569116947,2,0,3y0tizlv;tituojj7,,,"AIME_MATH_AGNOSTIC_NB:10870 req,16344308 in,9023465 out,$6.0125; project:7280 req,11129475 in,12177647 out,$6.8393; AIME_MATH_FEWSHOT:3819 req,7405073 in,4555263 out,$2.9371; LiveBenchMathBench-rp:828 req,2224332 in,4094185 out,$2.1227; aime-rp:258 req,472176 in,3137576 out,$1.4827; AIME_MATH_AGNOSTIC:58 req,140825 in,68414 out,$0.0476"
C_overlap_same_model_fspo,pupa-dynamic-fewshot-origin,PUPA,Qwen3-8B,tituojj7,pupa_qwen_nobase_subset45_20iter,23546,37731016,33135534,19.479362,,,,6,AIME_MATH_AGNOSTIC_NB,0.4729041026076616,0.3096491973158923,2,0,3y0tizlv;n7o1crf6,,,"AIME_MATH_AGNOSTIC_NB:11135 req,16494742 in,9183123 out,$6.1026; project:7291 req,10903824 in,12006637 out,$6.7351; AIME_MATH_FEWSHOT:3997 req,7552140 in,4709622 out,$3.0245; LiveBenchMathBench-rp:801 req,2160896 in,3925495 out,$2.0385; aime-rp:267 req,484763 in,3245841 out,$1.5334; AIME_MATH_AGNOSTIC:55 req,134651 in,64816 out,$0.0452"
