project,run_id,run_name,task,solver_model,input_tokens,output_tokens,total_tokens,input_key,output_key,total_key,error,estimated_cost_usd,model_short
ifbench-dynamic-fewshot,w5dkndzl,dynamic_fewshot_gpt41mini_20iter_3shot,IFBench,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
ifbench-dynamic-fewshot,8z2rfgr7,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBench,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
ifbench-dynamic-fewshot,r9104ny9,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBench,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
ifbench-dynamic-fewshot,0tv7woty,dynamic_fewshot_gpt41mini_20iter_3shot,IFBench,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
ifbench-dynamic-fewshot,bfmewlrg,dynamic_fewshot_qwen3_8b_20iter_3shot,IFBench,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
ifbench-dynamic-fewshot,oz2skszd,dynamic_fewshot_gpt41mini_20iter_3shot,IFBench,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
livebench-math-dynamic-fewshot,b6iz2dax,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,fm6705r5,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
livebench-math-dynamic-fewshot,kcqy5zvi,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
livebench-math-dynamic-fewshot,h6lucked,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
livebench-math-dynamic-fewshot,7jl5dta0,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,prmdtdw1,dynamic_fewshot_2iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,gs527dox,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,xji9z2aa,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,f8p7kmt5,ablation_nofewshot_20iter,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,1fm6356x,ablation_nofewshot_20iter,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,qy66amuq,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
livebench-math-dynamic-fewshot,4436w5h5,dynamic_fewshot_20iter_3shot,LiveBench-Math,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
aime-math-dynamic-fewshot,wmst5cop,dynamic_fewshot_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
aime-math-dynamic-fewshot,vwwcv2b0,dynamic_fewshot_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
aime-math-dynamic-fewshot,13xynbot,dynamic_fewshot_gpt41mini_20iter_3shot,AIME-2025,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
aime-math-dynamic-fewshot,8v2qjgrx,dspy_qwen3-8b_math-specific_fixed45val_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
aime-math-dynamic-fewshot,bkpxngx5,dspy_qwen3-8b_math-specific_fixed15val_20iter_3shot,AIME-2025,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
aime-math-dynamic-fewshot,86zmx5b0,dspy_qwen3-8b_math-specific_fixed15val_nothink_20iter_3shot_top1,AIME-2025,openrouter/qwen/qwen3-8b,,,,,,,,,Qwen3-8B
aime-math-dynamic-fewshot,mwjwwnoh,origin_gpt_nobase_fixed15val_64t_20iter_3shot_top1,AIME-2025,openrouter/openai/gpt-4.1-mini,,,,,,,,,GPT-4.1-mini
